"datetime";"value"
2017-01-28 15:00:00;30145.1
2017-01-28 16:00:00;29241.7
2017-01-28 17:00:00;29396.7
2017-01-28 18:00:00;31020.6
2017-01-28 19:00:00;32715.6
2017-01-28 20:00:00;33423.1
2017-01-28 21:00:00;33336.9
2017-01-28 22:00:00;31645.3
2017-01-28 23:00:00;29391.3
2017-01-29 00:00:00;27075.1
2017-01-29 01:00:00;24885
2017-01-29 02:00:00;23266
2017-01-29 03:00:00;22343.8
2017-01-29 04:00:00;21977.9
2017-01-29 05:00:00;21908.2
2017-01-29 06:00:00;22250.9
2017-01-29 07:00:00;23017.8
2017-01-29 08:00:00;23812.7
2017-01-29 09:00:00;26013.8
2017-01-29 10:00:00;28096.4
2017-01-29 11:00:00;29237.2
2017-01-29 12:00:00;29006.6
2017-01-29 13:00:00;29457.1
2017-01-29 14:00:00;29096.4
2017-01-29 15:00:00;27943
2017-01-29 16:00:00;27001.1
2017-01-29 17:00:00;27162
2017-01-29 18:00:00;29359.8
2017-01-29 19:00:00;31733.4
2017-01-29 20:00:00;32966.9
2017-01-29 21:00:00;33200.5
2017-01-29 22:00:00;31667.9
2017-01-29 23:00:00;28912.5
2017-01-30 00:00:00;26097.9
2017-01-30 01:00:00;24279.1
2017-01-30 02:00:00;22933.4
2017-01-30 03:00:00;22621.8
2017-01-30 04:00:00;22901.7
2017-01-30 05:00:00;23128.3
2017-01-30 06:00:00;26594
2017-01-30 07:00:00;31881.5
2017-01-30 08:00:00;35267.9
2017-01-30 09:00:00;36089.7
2017-01-30 10:00:00;36554
2017-01-30 11:00:00;36122.5
2017-01-30 12:00:00;35749.4
2017-01-30 13:00:00;35245.3
2017-01-30 14:00:00;34049.3
2017-01-30 15:00:00;33498.3
2017-01-30 16:00:00;33320.6
2017-01-30 17:00:00;33546.4
2017-01-30 18:00:00;34934.2
2017-01-30 19:00:00;36413.8
2017-01-30 20:00:00;36837.3
2017-01-30 21:00:00;36092.6
2017-01-30 22:00:00;33843.8
2017-01-30 23:00:00;30467.2
2017-01-31 00:00:00;27924.3
2017-01-31 01:00:00;25870.6
2017-01-31 02:00:00;24333.9
2017-01-31 03:00:00;23864.6
2017-01-31 04:00:00;23890
2017-01-31 05:00:00;24423.1
2017-01-31 06:00:00;27491.4
2017-01-31 07:00:00;32254.5
2017-01-31 08:00:00;35191.6
2017-01-31 09:00:00;35956.4
2017-01-31 10:00:00;35969.3
2017-01-31 11:00:00;35442
2017-01-31 12:00:00;34787.7
2017-01-31 13:00:00;34524.7
2017-01-31 14:00:00;33351.9
2017-01-31 15:00:00;33024.1
2017-01-31 16:00:00;33557.9
2017-01-31 17:00:00;33658.1
2017-01-31 18:00:00;35283.8
2017-01-31 19:00:00;36835.9
2017-01-31 20:00:00;37468.3
2017-01-31 21:00:00;36954.1
2017-01-31 22:00:00;34117.5
2017-01-31 23:00:00;30718.9
